Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pets,Probability,Prediction
0,0.0,0,1,6,179,30,19,1,0,0,0.5746579975838634,1
1,0.0,0,0,6,361,28,27,0,1,4,0.5775639504712534,1
0,0.0,0,1,6,155,34,25,0,2,0,0.2389855835830286,0
0,0.0,0,1,6,179,40,22,1,2,0,0.5590568670287401,1
1,0.0,0,0,6,155,34,25,0,2,0,0.6593730944580913,1
1,0.0,0,0,6,225,28,24,0,1,2,0.6488779159797402,1
1,0.0,0,0,6,118,46,25,0,2,0,0.8042153853425641,1
0,0.0,0,1,6,179,30,19,1,0,0,0.5746579975838634,1
0,0.0,0,1,6,118,37,28,0,0,0,0.4141934715163158,0
1,0.0,0,0,6,118,37,28,0,0,0,0.8133755228997612,1
0,0.0,0,1,6,378,36,21,0,2,4,0.2009384721108061,0
0,0.0,1,0,6,118,50,31,0,1,0,0.8939704003002494,1
0,0.0,1,0,6,233,31,21,1,1,8,0.9501016812290941,1
0,0.0,0,1,6,179,30,19,1,0,0,0.5746579975838634,1
0,0.0,0,0,6,235,48,33,0,1,5,0.3461655850339732,0
0,0.0,0,0,6,268,33,25,1,0,0,0.34630114309540705,0
0,0.0,1,0,6,118,50,31,0,1,0,0.8939704003002494,1
1,0.0,0,0,6,179,30,19,1,0,0,0.8927967473712927,1
0,0.0,0,1,6,291,40,25,0,1,1,0.27383819591699843,0
1,0.0,0,0,7,179,30,19,1,0,0,0.9057049273044888,1
0,0.0,0,1,7,118,37,28,0,0,0,0.44917511530070603,0
0,0.0,0,1,7,233,31,21,1,1,8,0.7256680122188597,1
1,0.0,0,0,7,118,37,28,0,0,0,0.8340693630819392,1
1,0.0,0,0,7,118,37,28,0,0,0,0.8340693630819392,1
0,0.0,0,1,7,233,31,21,1,1,8,0.7256680122188597,1
0,0.0,0,1,7,235,43,38,0,1,0,0.32998687806288823,0
0,0.0,1,0,7,233,31,21,1,1,8,0.9564464660483408,1
1,0.0,0,0,7,228,58,22,0,2,1,0.8696740996864456,1
0,0.0,0,1,7,118,37,28,0,0,0,0.44917511530070603,0
1,0.0,0,0,7,228,58,22,0,2,1,0.8696740996864456,1
0,0.0,0,1,7,189,33,25,0,2,2,0.27844444445479666,0
0,0.0,0,1,7,118,37,28,0,0,0,0.44917511530070603,0
0,0.0,0,1,7,361,28,27,0,1,4,0.2037016557323989,0
0,0.0,0,1,7,225,28,24,0,1,2,0.25692973611057757,0
1,0.0,0,0,7,369,31,25,0,3,0,0.39252742596352247,0
1,0.0,0,0,7,289,33,30,0,2,1,0.578881223634672,1
1,0.0,0,0,7,235,37,29,1,1,1,0.8968728533689087,1
0,0.0,0,0,7,118,40,34,0,1,8,0.47514738452519023,0
0,0.0,0,0,7,231,39,35,0,2,2,0.1688855563388793,0
0,0.0,0,0,7,179,53,25,0,1,1,0.3919401063432303,0
